year,resp_id,agency,loan_type,purpose,occupancy,amntch,amount,action,msa,state,county,tract,app_race,coapp_race,app_sex,coapp_sex,app_incch,app_inc,purchtype,denial1,denial2,denial3,editstatus,sequence,popch,pop,minpopch,minpop,minpctch,minpct,med_incch,med_inc,tct2msach,tct2msa,ownoccch,ownocc,ownocc4ch,ownocc4
2001,0000000001,1,1,3,1,00160,160,3,9160,10,003,0106.00,7,8,3,4,0051,51,0,3,4,,6,0105967,00001267,1267,00000027,27,0002.13,2.13,00041458,41458,0093.52,93.52,00000413,413,00000521,521
2001,0000000001,1,1,3,1,00064,64,1,9160,10,003,0107.00,3,3,1,2,0092,92,0,,,,6,0105968,00005194,5194,00001459,1459,0028.09,28.09,00035068,35068,0079.10,79.1,00001202,1202,00001513,1513
2001,0000000001,1,1,3,1,00087,87,1,9160,10,003,0108.00,5,5,1,2,0123,123,0,,,,6,0105969,00004295,4295,00000362,362,0008.43,8.43,00071008,71008,0160.17,160.17,00001293,1293,00001356,1356
2001,0000000001,1,1,3,1,00098,98,1,9160,10,003,0109.00,3,3,1,2,0127,127,0,,,,6,0105970,00002568,2568,00000110,110,0004.28,4.28,00060709,60709,0136.94,136.94,00001017,1017,00001086,1086
2001,0000000001,1,1,1,1,00141,141,1,9160,10,003,0110.00,7,8,1,4,0100,100,0,,,,6,0105971,00003339,3339,00000191,191,0005.72,5.72,00060675,60675,0136.87,136.87,00001215,1215,00001276,1276
2001,0000000001,1,1,2,1,00011,11,1,9160,10,003,0110.00,5,8,2,4,0049,49,0,,,,6,0105972,00003339,3339,00000191,191,0005.72,5.72,00060675,60675,0136.87,136.87,00001215,1215,00001276,1276
2001,0000000001,1,1,2,1,00060,60,2,9160,10,003,0111.00,5,8,2,4,0225,225,0,,,,6,0105973,00002703,2703,00000130,130,0004.81,4.81,00052971,52971,0119.49,119.49,00000959,959,00001123,1123
2001,0000000001,1,1,3,1,00111,111,1,9160,10,003,0112.03,2,8,1,4,0056,56,0,,,,6,0105974,00004537,4537,00000488,488,0010.76,10.76,00048209,48209,0108.75,108.75,00000917,917,00001072,1072
2001,0000000001,1,1,4,3,09500,9500,1,9160,10,003,0112.03,8,8,4,4,,0,1,,,,6,0105975,00004537,4537,00000488,488,0010.76,10.76,00048209,48209,0108.75,108.75,00000917,917,00001072,1072
2001,0000000001,1,1,3,1,00150,150,3,9160,10,003,0112.04,5,8,1,4,0075,75,0,3,1,,6,0105976,00003847,3847,00000265,265,0006.89,6.89,00060903,60903,0137.38,137.38,00001164,1164,00001292,1292
2001,0000000001,1,1,3,1,00030,30,1,9160,10,003,0113.00,3,3,2,1,0134,134,0,,,,6,0105977,00002244,2244,00000182,182,0008.11,8.11,00057854,57854,0130.50,130.5,00000715,715,00000761,761
